Have you studied data visualization in school (or other formal environment) or did you learn how to do it on your own?,What technologies do you use to visualize data? Select all that apply.
Mostly Self-Taught,"ArcGIS, D3, Excel, ggplot2, Highcharts, Illustrator, Mapbox, Python, QGIS, R, Vue, WebGL, Pen & Paper, P5/Processing"
Mostly Self-Taught,"Excel, Mapbox, Tableau, Web Components"
Equal Parts School and Self-Taught,"Gephi, Illustrator, kepler.gl, Python, QGIS"
Mostly Self-Taught,"D3, Excel, Leaflet, QGIS, Vue, Web Components, WebGL, Canvas"
Mostly Self-Taught,"Excel, Illustrator, Web Components"
Mostly Self-Taught,"Excel, Power BI, R, Tableau"
Mostly Self-Taught,"Excel, Python, Matplotlib"
Mostly Self-Taught,"Python, Matplotlib"
Mostly Self-Taught,"Excel, Tableau"
Equal Parts School and Self-Taught,"Excel, ggplot2, R, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Excel, Power BI, Tableau"
Mostly Self-Taught,"D3, Python, Pen & Paper, Matplotlib"
Equal Parts School and Self-Taught,"D3, ggplot2, Gephi, Leaflet, Mapbox, Power BI, Python, R, React, Tableau, Vega, Vue, Web Components"
Mostly Self-Taught,"D3, ggplot2, Highcharts, Illustrator, Leaflet, Plotly, R"
Mostly Self-Taught,"ggplot2, Python, R"
Mostly Self-Taught,"ArcGIS, ggplot2, Illustrator, Leaflet, Plotly, R"
Mostly Self-Taught,"Excel, ggplot2, Illustrator, Python, R"
Equal Parts School and Self-Taught,"ggplot2, R"
Mostly Self-Taught,"ggplot2, R"
Mostly Self-Taught,"Illustrator, Python, Matplotlib"
Mostly Self-Taught,"Python, Matplotlib"
Mostly Self-Taught,"Python, Matplotlib, Seaborn, aplpy, bokeh"
Mostly Self-Taught,"Python, Pen & Paper, Matplotlib"
Mostly Self-Taught,"Python, Pen & Paper, Matplotlib, Mathematica"
Mostly Self-Taught,"D3, Excel, ggplot2, Microstrategy, Plotly, R"
Mostly Self-Taught,"ggplot2, R"
Mostly Self-Taught,D3
Mostly Self-Taught,"Excel, ggplot2, Leaflet, Plotly, R"
Mostly Self-Taught,"Python, Matplotlib, Mayavi "
Mostly Self-Taught,"Cytoscape, Python, Matplotlib"
Mostly Self-Taught,"D3, Illustrator, R, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2"
Mostly Self-Taught,"ggplot2, Python, R"
Equal Parts School and Self-Taught,"Python, Pen & Paper, Matplotlib, VTK"
Mostly Self-Taught,"Python, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Illustrator"
Mostly Self-Taught,"Excel, Illustrator, Power BI, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Julia"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Power BI, Qlik"
Mostly Self-Taught,"Illustrator, Tableau, Pen & Paper"
Mostly From School (or other formal courses),"D3, Excel, React, Tableau, Vega, Web Components, Pen & Paper"
Equal Parts School and Self-Taught,"D3, Excel, Illustrator, Mapbox, QGIS, Tableau, Vega, Pen & Paper, P5/Processing"
Mostly Self-Taught,"Excel, Plotly, Python, Matplotlib"
Mostly Self-Taught,"D3, Excel, Illustrator, Power BI, Qlik, Tableau, Pen & Paper, Sketch"
Mostly Self-Taught,"Excel, Illustrator, Mapbox, kepler.gl, Tableau, Pen & Paper, Other physical materials"
Equal Parts School and Self-Taught,"D3, Excel, ggplot2, Illustrator, Python, R, React, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Excel, ggplot2, Gephi, Highcharts, Leaflet, Microstrategy, Plotly, Power BI, Python, QGIS, Qlik, R, Tableau"
Mostly Self-Taught,"D3, Excel, Python, React, Pen & Paper"
Mostly Self-Taught,"D3, Gephi, Illustrator, kepler.gl, Processing, Pen & Paper"
Mostly Self-Taught,"D3, Power BI, R, React, Canvas"
Mostly Self-Taught,"ggplot2, Plotly, Python, R, Vega, P5/Processing, Matplotlib, Altair, plotnine"
Mostly Self-Taught,"ggplot2, R"
Mostly Self-Taught,"Plotly, Python, Vega"
Mostly Self-Taught,"Power BI, Tableau"
Mostly Self-Taught,Python
Mostly Self-Taught,Stata / SAS
Equal Parts School and Self-Taught,"Python, Pen & Paper"
Mostly Self-Taught,"Excel, Plotly, Python, Vega, Matplotlib"
Mostly From School (or other formal courses),"Excel, Python, Tableau, Stata"
Mostly Self-Taught,"D3, R, React"
Equal Parts School and Self-Taught,"Excel, ggplot2, Plotly, R"
Mostly Self-Taught,"Excel, Python, Qlik"
Mostly Self-Taught,"ArcGIS, Excel, ggplot2, Highcharts, Illustrator, Plotly, Power BI, Python, Matplotlib"
Mostly Self-Taught,"Excel, ggplot2, Highcharts, Plotly, Python, R, Matplotlib"
Mostly Self-Taught,"ArcGIS, Excel, Illustrator, Mapbox, Python, R, Tableau"
Equal Parts School and Self-Taught,"Excel, Power BI, Python, R, Matplotlib"
Mostly Self-Taught,"Excel, ggplot2, Illustrator, R"
Mostly Self-Taught,"ggplot2, Illustrator, QGIS, R, Pen & Paper, Flourish"
Mostly Self-Taught,"D3, Excel, QGIS, R, Tableau"
Mostly Self-Taught,"Excel, R, Tableau"
Equal Parts School and Self-Taught,"Excel, ggplot2, Power BI, R, Tableau"
Mostly From School (or other formal courses),"ArcGIS, Excel, Illustrator, Power BI, QGIS, Tableau"
Equal Parts School and Self-Taught,"Excel, ggplot2, Highcharts, Leaflet, Plotly, R, Tableau"
Mostly Self-Taught,"Excel, Illustrator, Pen & Paper"
Equal Parts School and Self-Taught,"ArcGIS, D3, Excel, ggplot2, Gephi, Illustrator, kepler.gl, Power BI, Python, R, React, Matplotlib"
Mostly Self-Taught,"D3, Excel, Python, Tableau, altair"
Mostly Self-Taught,"Mapbox, Python, QGIS, Matplotlib"
Mostly Self-Taught,"Plotly, Python, Matplotlib, seaborn"
Mostly Self-Taught,"Python, Matplotlib, Unity, vmd, nglview"
Equal Parts School and Self-Taught,"D3, Leaflet, Mapbox, Python, QGIS, rivets.js"
Mostly Self-Taught,"Excel, ggplot2, Power BI, Python, R"
Mostly Self-Taught,"ArcGIS, Cytoscape, Excel, Highcharts, Mapbox, kepler.gl, Plotly, Power BI, Python, React, Pen & Paper"
Mostly Self-Taught,"D3, Leaflet, Processing, QGIS, React, Web Components, WebGL, Canvas, P5/Processing"
Equal Parts School and Self-Taught,"D3, Python, Matplotlib"
Mostly Self-Taught,"ggplot2, Illustrator, Python, P5/Processing, Matplotlib"
Mostly Self-Taught,"ggplot2, Leaflet, kepler.gl, Plotly, QGIS, R"
Mostly Self-Taught,"Python, WebGL, Matplotlib"
Mostly Self-Taught,"D3, Excel, Leaflet, Python, Matlab"
Mostly Self-Taught,"Cytoscape, D3, ggplot2, Gephi, Illustrator, Python, R, Pen & Paper, Matplotlib"
Mostly From School (or other formal courses),"D3, ggplot2, Power BI, R, Tableau"
Mostly Self-Taught,"Cytoscape, D3, ggplot2, Plotly, Python, R"
Mostly Self-Taught,"Python, R, Matplotlib"
Mostly Self-Taught,"D3, ggplot2, QGIS, R, Tableau"
Mostly Self-Taught,"ggplot2, Java, Python, Matplotlib, Gnuplot"
Mostly Self-Taught,"Plotly, Python, Matplotlib"
Mostly Self-Taught,"Python, Matplotlib"
Mostly Self-Taught,"Python, Matplotlib, Bokeh, Datashader, Holoviews"
Mostly Self-Taught,"Python, QGIS, Matplotlib"
Mostly Self-Taught,"ArcGIS, Excel, ggplot2, Plotly, Python, R, Matplotlib, Tibco Spotfire"
Mostly Self-Taught,"Python, Tableau"
Equal Parts School and Self-Taught,"D3, Mapbox, kepler.gl, Power BI, React, Tableau, Web Components, WebGL"
Mostly Self-Taught,"D3, Leaflet, Python, QGIS, Cesium.js"
Mostly Self-Taught,D3
Mostly Self-Taught,"Excel, R, Pen & Paper, Spotfire"
Mostly Self-Taught,"Excel, ggplot2, QGIS, R, Omnigraffle"
Equal Parts School and Self-Taught,"D3, Angular, Java, Mapbox, Qlik, R, Tableau, Web Components"
Mostly Self-Taught,"D3, Excel, ggplot2, QGIS, R, Tableau"
Mostly Self-Taught,"ArcGIS, Excel, Power BI, Python, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Python, React, Matplotlib, Recharts"
Mostly Self-Taught,Tableau
Mostly Self-Taught,Tableau
Mostly Self-Taught,Tableau
Mostly Self-Taught,"Excel, Power BI, Tableau"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"ggplot2, Highcharts, Leaflet, R"
Mostly Self-Taught,"D3, Excel, ggplot2, Highcharts, Leaflet, Power BI, Python, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, R, Tableau"
Mostly Self-Taught,"D3, Excel, ggplot2, Plotly, Power BI, Python, R, Tableau"
Mostly Self-Taught,"D3, ggplot2, Gephi, Highcharts, Mapbox, kepler.gl, Plotly, Python, R, Tableau, WebGL, Pen & Paper, Canvas, Matplotlib"
Mostly Self-Taught,"D3, Python, React"
Mostly Self-Taught,"Plotly, Python, Matplotlib, holoviews"
Mostly Self-Taught,"D3, ggplot2, Plotly, Python, R, Vega, Matplotlib"
Mostly Self-Taught,"Mapbox, Tableau"
Mostly Self-Taught,"Cytoscape, D3, Excel, Highcharts, Python, React, Semiotic, Tableau, WebGL, Pen & Paper, Greensock"
Mostly Self-Taught,"D3, ggplot2, Power BI, Python, Tableau"
Mostly Self-Taught,"Excel, Illustrator, Pen & Paper"
Equal Parts School and Self-Taught,"Excel, Illustrator, Tableau"
Equal Parts School and Self-Taught,"Excel, Illustrator, Python, Tableau"
Equal Parts School and Self-Taught,"Excel, Illustrator, Tableau"
Mostly Self-Taught,"Excel, Microstrategy, Power BI, Tableau, Pen & Paper, Other physical materials"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"ArcGIS, Excel, Illustrator, Tableau, Ucinet/Netdraw"
Mostly Self-Taught,"Excel, ggplot2, Plotly, R"
Mostly Self-Taught,"Excel, Power BI, Qlik"
Mostly Self-Taught,"Excel, Mapbox, Power BI, Qlik, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Power BI, Python, R, Tableau"
Mostly Self-Taught,"Excel, Illustrator, Tableau, Google Sheets, Data Illustrator, Adobe Xd"
Mostly Self-Taught,"ggplot2, R"
Mostly Self-Taught,"Excel, ggplot2, R, Tableau"
Mostly Self-Taught,"D3, ggplot2, Python, R"
Mostly Self-Taught,"Excel, ggplot2, Plotly, Python, Tableau, Matplotlib"
Mostly Self-Taught,"D3, Excel, Python"
Mostly From School (or other formal courses),"ArcGIS, Leaflet, Mapbox, Python, QGIS"
Mostly Self-Taught,"D3, Angular, Excel, React, Vega, WebGL, Kibana"
Mostly Self-Taught,"D3, Mapbox, kepler.gl, React, WebGL, Canvas"
Equal Parts School and Self-Taught,"D3, Mapbox, React, Tableau, Vega, WebGL, React-vis"
Equal Parts School and Self-Taught,"D3, Excel, Python, Tableau"
Mostly Self-Taught,Tableau
Mostly Self-Taught,Tableau
Mostly Self-Taught,"D3, ggplot2, Highcharts, Plotly, R"
Mostly Self-Taught,"ArcGIS, D3, Excel, Plotly, Python, Matplotlib"
Mostly Self-Taught,"D3, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Excel, Python, Matplotlib"
Mostly Self-Taught,Excel
Mostly Self-Taught,Excel
Mostly Self-Taught,"Excel, ggplot2, Python, R, Tableau, Matplotlib"
Mostly Self-Taught,"D3, Excel, Vue, Pen & Paper"
Mostly Self-Taught,"D3, ggplot2, Python, Qlik, R, Pen & Paper"
Mostly Self-Taught,"D3, React, Vue"
Mostly Self-Taught,"D3, React, WebGL, Pen & Paper, Canvas, KeyLines API"
Mostly Self-Taught,Python
Equal Parts School and Self-Taught,"ArcGIS, D3, Highcharts, Leaflet, Mapbox, kepler.gl, Python, QGIS, React, Semiotic, WebGL, Pen & Paper, Canvas, svg, html, css, javascript"
Mostly Self-Taught,"D3, Angular, ggplot2, Highcharts, Python"
Mostly Self-Taught,"D3, Angular, Highcharts"
Mostly Self-Taught,"D3, Angular, Tableau, WebGL, Google Earth Engine, Google Sheets, deck.gl"
Mostly Self-Taught,"D3, Excel, Gephi, Plotly, Python, React, Semiotic, Tableau, Vega, WebGL, Pen & Paper, Canvas, P5/Processing, Observable, Jupyter"
Mostly Self-Taught,"D3, Excel, Pen & Paper"
Mostly Self-Taught,"D3, Highcharts, Leaflet, Mapbox, Python, React, WebGL, Canvas"
Mostly Self-Taught,"D3, Leaflet, Python, Vega, Vue, Pen & Paper"
Mostly Self-Taught,"D3, R, React, Tableau, Web Components, Canvas"
Mostly From School (or other formal courses),"D3, React"
Mostly Self-Taught,"D3, React, Vega"
Mostly Self-Taught,"D3, React, WebGL, Greensock, Canvas"
Equal Parts School and Self-Taught,"Excel, Plotly, Python, Tableau, Matplotlib"
Mostly Self-Taught,"Python, Matplotlib, LucidChart"
Equal Parts School and Self-Taught,"Plotly, Python"
Equal Parts School and Self-Taught,"D3, Excel, ggplot2, Highcharts, Java, Plotly, Python, R, Vue, Google Charts"
Mostly Self-Taught,"D3, Highcharts, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Python, R, Tableau"
Mostly Self-Taught,Highcharts
Equal Parts School and Self-Taught,"D3, Web Components, In house framework"
Mostly Self-Taught,SAP BO
Mostly Self-Taught,"ggplot2, Python, R, Matplotlib"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"Cytoscape, D3, React, Semiotic, Tableau"
Mostly Self-Taught,"D3, Angular, Mapbox, kepler.gl, Microstrategy, React, Semiotic, Tableau, Web Components, WebGL"
Mostly Self-Taught,"D3, Angular, Python, Vega, WebGL, Canvas"
Mostly Self-Taught,"D3, Illustrator, Mapbox, Processing, QGIS, React, WebGL, Canvas"
Mostly Self-Taught,"Excel, ggplot2, Plotly, R"
Mostly From School (or other formal courses),"ggplot2, Highcharts, Plotly, R, SAS, Stata, SPSS"
Mostly Self-Taught,"ArcGIS, ggplot2, R"
Equal Parts School and Self-Taught,"ArcGIS, Illustrator, Python, QGIS, R"
Mostly From School (or other formal courses),"D3, Angular, ggplot2, Illustrator, Leaflet, Mapbox, Python, R, Tableau, Web Components"
Mostly Self-Taught,"D3, Excel, ggplot2, Python, R, Tableau"
Mostly Self-Taught,"D3, ggplot2, Python, QGIS, R, React, Matplotlib"
Mostly Self-Taught,"Excel, ggplot2, Illustrator, Plotly, Python, R, Matplotlib"
Equal Parts School and Self-Taught,"Excel, ggplot2, Python, R"
Mostly Self-Taught,"ggplot2, Plotly, R, Matplotlib"
Mostly Self-Taught,"Excel, Illustrator, Infogram"
Mostly Self-Taught,"ArcGIS, Excel, ggplot2, Python, R, Tableau"
Mostly Self-Taught,"ggplot2, R, Pen & Paper"
Mostly Self-Taught,"Excel, Power BI, Tableau"
Mostly Self-Taught,"Python, Matplotlib"
Mostly Self-Taught,"Excel, ggplot2, Plotly, Python, R, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"Excel, Java, Python, In house software tools"
Mostly Self-Taught,"Excel, ggplot2, Plotly, Power BI, R, Tableau"
Mostly Self-Taught,"Excel, Gephi, Tableau"
Mostly Self-Taught,"D3, Excel, ggplot2, Highcharts, Leaflet, Plotly, Python, QGIS, R, Affinity Designer"
Mostly From School (or other formal courses),"Excel, Power BI, Python, Tableau"
Mostly Self-Taught,"Excel, Power BI"
Equal Parts School and Self-Taught,"D3, Angular, Web Components"
Mostly Self-Taught,"ArcGIS, Cytoscape, D3, Angular, Excel, Plotly, Python, R, Web Components, WebGL, Canvas, Matplotlib"
Mostly Self-Taught,"Excel, ggplot2, QGIS, R"
Mostly Self-Taught,"Excel, Python, Web Components"
Mostly Self-Taught,"Excel, ggplot2, R, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Excel, Python, React, Semiotic, WebGL"
Equal Parts School and Self-Taught,"D3, Excel, ggplot2, Plotly, Python, Tableau, Matplotlib"
Mostly Self-Taught,"D3, Illustrator, Mapbox, React, WebGL, Pen & Paper"
Mostly Self-Taught,"D3, Illustrator, Leaflet, Mapbox, Python, QGIS, React, Pen & Paper, Canvas"
Mostly Self-Taught,"D3, ggplot2, Python, R, Vega, WebGL, Pen & Paper, Canvas"
Mostly Self-Taught,"D3, Excel, Python"
Mostly Self-Taught,"D3, Excel, Illustrator, R, Pen & Paper"
Mostly Self-Taught,"D3, ggplot2, Illustrator, QGIS, R, WebGL, Canvas"
Mostly Self-Taught,"D3, Excel, ggplot2, Highcharts, Illustrator, Plotly, Power BI, R, Tableau"
Mostly Self-Taught,"D3, Ember.js"
Mostly Self-Taught,hand drawn with adobe Director
Mostly Self-Taught,"D3, Excel, R, Pen & Paper"
Mostly Self-Taught,"ArcGIS, D3, Highcharts, Processing, Python, R, React, Vue, WebGL, Greensock, Canvas, P5/Processing"
Equal Parts School and Self-Taught,"ArcGIS, D3, Mapbox, kepler.gl, Python, React, Semiotic, CARTO"
Mostly Self-Taught,"Excel, Power BI, Tableau"
Equal Parts School and Self-Taught,"ArcGIS, D3, Excel, ggplot2, Highcharts, Illustrator, Leaflet, Mapbox, QGIS, R, Tableau"
Mostly Self-Taught,"ArcGIS, D3, Excel, Highcharts, Plotly, Power BI, Python, Tableau, Web Components, Matplotlib, Spotfire"
Equal Parts School and Self-Taught,"ArcGIS, Excel, ggplot2, R, Tableau"
Mostly Self-Taught,"ArcGIS, ggplot2, Power BI, R, Tableau, SAS, Cognos"
Mostly Self-Taught,"ArcGIS, ggplot2, Power BI, Tableau, Pen & Paper, Sas "
Equal Parts School and Self-Taught,"D3, Excel, Gephi, Tableau"
Mostly Self-Taught,"D3, Excel, ggplot2, Highcharts, Illustrator, Leaflet, Mapbox, Plotly, R, Pen & Paper"
Mostly Self-Taught,"D3, Excel, Illustrator, Python, React, Tableau, Vue"
Mostly Self-Taught,"D3, Excel, Illustrator, QGIS, Web Components, WebGL, Pen & Paper, Other physical materials, Canvas, Blender"
Mostly Self-Taught,"D3, ggplot2, Illustrator, Leaflet, Plotly, QGIS, R, React, Pen & Paper"
Equal Parts School and Self-Taught,"D3, ggplot2, Plotly, R"
Mostly From School (or other formal courses),"D3, Java, Leaflet, Mapbox, Plotly, Python, QGIS, R, WebGL, Canvas"
Mostly Self-Taught,"D3, Leaflet, Mapbox, kepler.gl, QGIS, R, WebGL, Datawrapper"
Equal Parts School and Self-Taught,"D3, Power BI, Matplotlib"
Mostly Self-Taught,"D3, React, Web Components, Canvas"
Mostly Self-Taught,"D3, React, WebGL"
Mostly Self-Taught,decksh
Mostly Self-Taught,"Excel, ggplot2, Leaflet, Power BI, Python, R, Tableau, Web Components, Matplotlib"
Mostly Self-Taught,"Excel, ggplot2, Plotly, Power BI, R, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Plotly, Python, QGIS, R"
Mostly Self-Taught,"Excel, ggplot2, Plotly, Qlik, R"
Mostly Self-Taught,"Excel, ggplot2, Power BI, R, Tableau"
Mostly Self-Taught,"Excel, ggplot2, R, Tableau"
Equal Parts School and Self-Taught,"Excel, ggplot2, R, Tableau"
Mostly Self-Taught,"Excel, Illustrator, Qlik, Pen & Paper"
Mostly Self-Taught,"Excel, Mapbox, QGIS, Tableau"
Mostly Self-Taught,"Excel, Pen & Paper"
Mostly Self-Taught,"Excel, Power BI, R"
Mostly Self-Taught,"Excel, Python"
Mostly Self-Taught,"Excel, R, Tableau, Pen & Paper, Alteryx"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"ggplot2, Mapbox, Plotly, Python, R, React, Matplotlib"
Mostly Self-Taught,"ggplot2, Microstrategy, Plotly, R, Tableau, Pen & Paper"
Mostly Self-Taught,"ggplot2, Plotly, R"
Equal Parts School and Self-Taught,"ggplot2, R"
Mostly Self-Taught,"Illustrator, Python, Vega"
Mostly Self-Taught,"Mapbox, Power BI"
Mostly Self-Taught,"Mapbox, Power BI, Python, Tableau"
Mostly Self-Taught,"Mapbox, Python, Matplotlib"
Mostly Self-Taught,"Pen & Paper, Other physical materials, Think-cell"
Mostly Self-Taught,"Power BI, Python, Tableau"
Mostly Self-Taught,"Python, Matplotlib"
Mostly Self-Taught,"Python, Matplotlib, Seaborn"
Mostly Self-Taught,"Python, Pen & Paper, Matplotlib"
Mostly Self-Taught,"Python, QGIS, pyviz, bokeh, hvplot, holoview, geoviews"
Mostly Self-Taught,SAP BO
Mostly Self-Taught,"D3, Excel, Leaflet, Plotly, R, Canvas"
Mostly Self-Taught,"D3, Mapbox, React, WebGL, Canvas"
Equal Parts School and Self-Taught,"D3, Mapbox, Python, React, Tableau, Vega"
Mostly Self-Taught,"Excel, ggplot2, Illustrator, R, Tableau"
Mostly Self-Taught,"Power BI, Python, R, Tableau"
Mostly Self-Taught,"D3, Excel, ggplot2, Python, R, Tableau"
Mostly Self-Taught,"Excel, Illustrator, Processing, Semiotic, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Angular, Gephi, Highcharts, Leaflet, Plotly, Python, Vue, Pen & Paper"
Equal Parts School and Self-Taught,"Excel, Java, Python, QGIS, Pen & Paper, Other physical materials, Canvas, Datacubes"
Mostly Self-Taught,"ggplot2, Python, R, Tableau, Matplotlib"
Equal Parts School and Self-Taught,"ggplot2, Highcharts, Plotly, R, Tableau, EPIC EHR"
Mostly Self-Taught,"D3, Excel, Illustrator, Plotly, Python, QGIS, Tableau"
Mostly Self-Taught,"D3, WebGL, Pen & Paper"
Mostly From School (or other formal courses),"Excel, Tableau"
Mostly Self-Taught,"Excel, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Excel, Power BI, Tableau, SAP WebI"
Mostly Self-Taught,"Excel, QGIS, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Power BI, R"
Mostly Self-Taught,"D3, Excel, Gephi, Illustrator, Leaflet, Mapbox, QGIS, Vue, Pen & Paper"
Mostly Self-Taught,"ggplot2, Gephi, Illustrator, Plotly, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Python, Tableau, Pen & Paper, Alteryx"
Mostly Self-Taught,Qlik
Mostly Self-Taught,"D3, Excel, Semiotic, Pen & Paper"
Equal Parts School and Self-Taught,"ArcGIS, Excel, Power BI, Python, Pen & Paper, Other physical materials"
Mostly Self-Taught,"D3, Excel, Power BI, Tableau"
Equal Parts School and Self-Taught,"ArcGIS, Angular, Leaflet"
Mostly Self-Taught,"D3, Excel, ggplot2, Highcharts, Illustrator, Leaflet, R, Vue, Pen & Paper, Other physical materials"
Mostly Self-Taught,"D3, Leaflet, Mapbox, Python, React, Vega, Pen & Paper, OpenLayers"
Mostly Self-Taught,"Excel, ggplot2, Processing, R, Tableau"
Mostly Self-Taught,"ArcGIS, D3, Highcharts, Plotly, Python, QGIS, Tableau, Vega, Pen & Paper, Other physical materials, Matplotlib, Google Data Studio"
Mostly Self-Taught,"Excel, Illustrator, Mapbox, Pen & Paper, Datawrapper"
Mostly Self-Taught,"D3, Excel, ggplot2, Illustrator, Leaflet, Mapbox, Python, QGIS, R, WebGL"
Equal Parts School and Self-Taught,"D3, ggplot2, Plotly, R, FlexDashboard"
Mostly Self-Taught,"Excel, ggplot2, Highcharts, Leaflet, Plotly, R"
Mostly Self-Taught,"Excel, ggplot2, Power BI, Python, Tableau, Other physical materials"
Mostly Self-Taught,"Excel, ggplot2, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Pen & Paper"
Mostly Self-Taught,"Excel, Power BI, Python, QGIS, R, Tableau, Pen & Paper, Google Data Studio"
Mostly Self-Taught,"Python, Tableau"
Mostly Self-Taught,
Mostly Self-Taught,"Plotly, Python, Pen & Paper, Matplotlib, Tikz, Coreldraw, Inkscape"
Equal Parts School and Self-Taught,"D3, ggplot2, Plotly, Python, R, Tableau, Vue, WebGL, Pen & Paper"
Mostly Self-Taught,"D3, Python, Vue, Web Components, WebGL, Canvas"
Mostly Self-Taught,"Excel, Illustrator, animate cc"
Mostly Self-Taught,"Excel, ggplot2, R, Tableau, Pen & Paper, PowerPoint"
Mostly Self-Taught,"Leaflet, kepler.gl, QGIS, Mathematica"
Mostly Self-Taught,"D3, Excel, ggplot2, Python, R, Matplotlib"
Mostly Self-Taught,"D3, Excel, Plotly, Python, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, Power BI"
Mostly Self-Taught,"Excel, ggplot2, Power BI, R"
Mostly Self-Taught,"Excel, Power BI, Tableau"
Mostly Self-Taught,"Mapbox, Microstrategy, Power BI, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, ggplot2, Gephi, Power BI, Python, Tableau"
Mostly Self-Taught,"D3, Excel, ggplot2, Gephi, Illustrator, Leaflet, Processing, QGIS, R, Tableau, Pen & Paper, Canvas, P5/Processing"
Mostly Self-Taught,"D3, Angular, ggplot2, Illustrator"
Mostly Self-Taught,"Mapbox, Power BI, Tableau"
Equal Parts School and Self-Taught,"D3, Mapbox, Python, QGIS, Tableau"
Mostly Self-Taught,"D3, Excel, Highcharts, Java, QGIS, Fluorish, Google Map"
Equal Parts School and Self-Taught,"Excel, ggplot2, Plotly, Python, R, Tableau"
Mostly Self-Taught,"D3, Angular, Excel, ggplot2, Illustrator, Leaflet, Mapbox, Plotly, QGIS, R, React, Web Components, WebGL"
Mostly Self-Taught,"D3, ggplot2, Plotly, Power BI, Processing, Python, R, React, P5/Processing"
Mostly Self-Taught,"Excel, ggplot2, Illustrator, Power BI, Python, R, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, Java, Leaflet, Mapbox, kepler.gl, Plotly, QGIS, R, Pen & Paper, Google Data Studio, Facebook Analytics, Gamesparks"
Mostly Self-Taught,"Excel, Illustrator, Mapbox, Power BI, Python, Tableau, Pen & Paper, Matplotlib"
Mostly Self-Taught,"ggplot2, Illustrator, Leaflet, R, Tableau"
Mostly Self-Taught,"D3, Excel, Gephi, Illustrator, Mapbox, QGIS, Tableau, Web Components, Pen & Paper, Other physical materials"
Mostly Self-Taught,"D3, Excel, ggplot2, Illustrator, Leaflet, Mapbox, QGIS, R, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Power BI, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Illustrator, Mapbox, Power BI, QGIS, R, Tableau"
Mostly Self-Taught,"D3, Excel, ggplot2, Gephi, Illustrator, Leaflet, QGIS, R, Pen & Paper"
Mostly Self-Taught,"Illustrator, Mapbox, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Illustrator, Tableau, Vega, Pen & Paper"
Mostly Self-Taught,"D3, Angular, Mapbox, kepler.gl, Plotly, React, WebGL, Canvas"
Mostly Self-Taught,"D3, Excel, ggplot2, Plotly, Python, Pen & Paper, Matplotlib"
Mostly From School (or other formal courses),"D3, ggplot2, Gephi, Illustrator, Leaflet, Mapbox, kepler.gl, Plotly, Processing, Python, R, Tableau, WebGL, Canvas, P5/Processing, Unity3D"
Mostly Self-Taught,"D3, Excel, Python, QGIS, R, Vue, Canvas"
Mostly Self-Taught,"D3, Gephi, Mapbox, Python, QGIS, React, Tableau, Pen & Paper, Other physical materials, Greensock, Canvas, Three.js"
Mostly Self-Taught,"D3, Tableau"
Mostly Self-Taught,"ggplot2, Illustrator, R, Tableau"
Mostly Self-Taught,"D3, Excel, ggplot2, Gephi, Highcharts, Illustrator, Leaflet, Mapbox, Plotly, Processing, QGIS, Qlik, R, Tableau, Vega, Web Components, Pen & Paper, P5/Processing"
Mostly Self-Taught,Excel
Mostly Self-Taught,"D3, Excel, Tableau"
Equal Parts School and Self-Taught,"ArcGIS, D3, Angular, Excel, Processing, QGIS, Pen & Paper, P5/Processing"
